"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"ct","19 Day","New","ct_New_19 Day","PE e","1",0.208611047364753,0.0122266302369094,13
"ct","19 Day","New","ct_New_19 Day","PE e","X",0,0,13
"ct","19 Day","Old","ct_Old_19 Day","PE e","0",0.781024138064229,0.00968043138424853,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","1",0.218975861935771,0.00968043138424853,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","X",0,0,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","0",0.936746338059873,0.00351865626128478,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","1",0.0629060419118874,0.00351782956178488,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","X",0.000347620028239542,0.000121651167028718,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","0",0.794403531365272,0.00706297670899902,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","1",0.205596468634728,0.00706297670899902,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","X",0,0,16
"syd","1 Day","New","syd_New_1 Day","PE e","0",0.915439422730715,0.00617418636200912,13
"syd","1 Day","New","syd_New_1 Day","PE e","1",0.0764975866265435,0.00487151981028845,13
"syd","1 Day","New","syd_New_1 Day","PE e","X",0.00806299064274126,0.00473811435594199,13
"syd","1 Day","Old","syd_Old_1 Day","PE e","0",0.938103869578072,0.00319818872046911,18
"syd","1 Day","Old","syd_Old_1 Day","PE e","1",0.0616486805088314,0.00314552266566885,18
"syd","1 Day","Old","syd_Old_1 Day","PE e","X",0.000247449913096261,0.00018734471560193,18
"syd","19 Day","New","syd_New_19 Day","PE e","0",0.778689439127994,0.00810923956149679,16
"syd","19 Day","New","syd_New_19 Day","PE e","1",0.221310560872006,0.00810923956149679,16
"syd","19 Day","New","syd_New_19 Day","PE e","X",0,0,16
"syd","19 Day","Old","syd_Old_19 Day","PE e","0",0.783387652277002,0.00672714920211506,15
"syd","19 Day","Old","syd_Old_19 Day","PE e","1",0.216612347722998,0.00672714920211507,15
"syd","19 Day","Old","syd_Old_19 Day","PE e","X",0,0,15
"cbr","1 Day","New","cbr_New_1 Day","PC e","0",1,0,11
"cbr","1 Day","Old","cbr_Old_1 Day","PC e","0",1,0,17
"cbr","19 Day","New","cbr_New_19 Day","PC e","0",1,0,10
"cbr","19 Day","Old","cbr_Old_19 Day","PC e","0",1,0,15
"ct","1 Day","New","ct_New_1 Day","PC e","0",1,0,15
"ct","1 Day","Old","ct_Old_1 Day","PC e","0",1,0,17
"ct","19 Day","New","ct_New_19 Day","PC e","0",1,0,13
"ct","19 Day","Old","ct_Old_19 Day","PC e","0",1,0,16
"s06","1 Day","Older","s06_Older_1 Day","PC e","0",1,0,16
"s06","19 Day","Older","s06_Older_19 Day","PC e","0",1,0,16
"syd","1 Day","New","syd_New_1 Day","PC e","0",1,0,12
"syd","1 Day","Old","syd_Old_1 Day","PC e","0",1,0,18
"syd","19 Day","New","syd_New_19 Day","PC e","0",1,0,16
"syd","19 Day","Old","syd_Old_19 Day","PC e","0",1,0,15
"cbr","1 Day","New","cbr_New_1 Day","TG e","0",0.926788547965743,0.0641732641339324,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","1",0.00875673949591306,0.00875673949591306,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","X",0.0644547125383444,0.0644547125383444,11
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","0",0.868146837369829,0.0546478209811616,17
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","1",0.0222171371237121,0.0153748222588679,17
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","X",0.109636025506459,0.0545219685769672,17
"cbr","19 Day","New","cbr_New_19 Day","TG e","0",0.629081790621795,0.11963888096074,9
"cbr","19 Day","New","cbr_New_19 Day","TG e","1",0.00577328358187264,0.00306744401653639,9
"cbr","19 Day","New","cbr_New_19 Day","TG e","X",0.365144925796332,0.119983072500803,9
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","0",0.886946140265365,0.0597068639500015,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","1",0.00382182164001616,0.00241316738115325,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","X",0.109232038094619,0.0600855752508717,15
"ct","1 Day","New","ct_New_1 Day","TG e","0",0.977378231111939,0.0165534886575964,14
"ct","1 Day","New","ct_New_1 Day","TG e","1",0.00994987449569097,0.00745675701392389,14
"ct","1 Day","New","ct_New_1 Day","TG e","X",0.0126718943923702,0.0126718943923702,14
"ct","1 Day","Old","ct_Old_1 Day","TG e","0",0.948570585346881,0.0317304221426191,17
"ct","1 Day","Old","ct_Old_1 Day","TG e","1",0.0465800366659197,0.0319874560106483,17
"ct","1 Day","Old","ct_Old_1 Day","TG e","X",0.00484937798719906,0.00344352622641081,17
"ct","19 Day","New","ct_New_19 Day","TG e","0",0.7570406891551,0.0789284471217947,13
"ct","19 Day","New","ct_New_19 Day","TG e","1",3.05933807315268e-05,3.05933807315268e-05,13
"ct","19 Day","New","ct_New_19 Day","TG e","X",0.242928717464168,0.0789167199718491,13
"ct","19 Day","Old","ct_Old_19 Day","TG e","0",0.742508223092121,0.0975952585232764,15
"ct","19 Day","Old","ct_Old_19 Day","TG e","1",0,0,15
"ct","19 Day","Old","ct_Old_19 Day","TG e","X",0.257491776907879,0.0975952585232764,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","0",0.735079588854763,0.0840146933832446,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","1",0.17742039784526,0.0712449542531259,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","X",0.0875000132999765,0.0519761590475578,15
"s06","19 Day","Older","s06_Older_19 Day","TG e","0",0.763933857945525,0.105533198750413,14
"s06","19 Day","Older","s06_Older_19 Day","TG e","1",0,0,14
"s06","19 Day","Older","s06_Older_19 Day","TG e","X",0.236066142054475,0.105533198750413,14
"syd","1 Day","New","syd_New_1 Day","TG e","0",0.896546211887289,0.0699879462137768,13
"syd","1 Day","New","syd_New_1 Day","TG e","1",0,0,13
"syd","1 Day","New","syd_New_1 Day","TG e","X",0.103453788112711,0.0699879462137768,13
"syd","1 Day","Old","syd_Old_1 Day","TG e","0",0.869654763541858,0.079921603119688,17
"syd","1 Day","Old","syd_Old_1 Day","TG e","1",0.00859599903432003,0.00859599903432003,17
"syd","1 Day","Old","syd_Old_1 Day","TG e","X",0.121749237423822,0.0802769642346947,17
"syd","19 Day","New","syd_New_19 Day","TG e","0",0.579885022578506,0.121324512784484,15
"syd","19 Day","New","syd_New_19 Day","TG e","1",0.202936484258939,0.106543113355751,15
"syd","19 Day","New","syd_New_19 Day","TG e","X",0.217178493162555,0.0971766938469895,15
"syd","19 Day","Old","syd_Old_19 Day","TG e","0",0.717680169874667,0.100379463130209,14
"syd","19 Day","Old","syd_Old_19 Day","TG e","1",0,0,14
"syd","19 Day","Old","syd_Old_19 Day","TG e","X",0.282319830125333,0.100379463130209,14
