"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"syd","19 Day","Old","syd_Old_19 Day","PE p","M1",0.0769722007839527,0.00316568260027542,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","MX",0.0181340481316544,0.000472522540948546,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","S0",0.404893751084393,0.00320556532546485,15
"cbr","1 Day","New","cbr_New_1 Day","PE e","L0",0.180580918125016,0.00751816793034385,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","L1",0,0,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","LX",0.280385119605631,0.006459724762439,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","M0",0.0472614110227004,0.0053789547100588,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","M1",0.105376621372718,0.00624567282823365,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","MX",0.152476609821432,0.0068270673650339,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","S0",0.233919320052502,0.00682147669532958,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","L0",0.177662739342125,0.00354905006653133,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","L1",0,0,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","LX",0.286892507060444,0.003186022214718,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","M0",0.0368236359207244,0.00407700022921513,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","M1",0.0975822149324555,0.00287742806178851,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","MX",0.150386668255831,0.00309519455175981,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","S0",0.250652234488421,0.00382819476167152,18
"cbr","19 Day","New","cbr_New_19 Day","PE e","L0",0.194679905424502,0.00615075106315603,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","L1",0.00062424152938259,0.00062424152938259,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","LX",0.193337116348053,0.0134909173519545,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","M0",0.0130418022281393,0.00632621077821229,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","M1",0.258766687550367,0.021325769539666,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","MX",0.149383875978671,0.00654567593936339,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","S0",0.190166370940885,0.0126944269767723,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","L0",0.201090731708881,0.00570691255304701,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","L1",0,0,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","LX",0.185425468128181,0.00753396196074158,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","M0",0.0119268677122435,0.00344671099519667,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","M1",0.269147034296032,0.0102907986541628,15
